Product,Current Stock,Avg Daily Sales,Lead Time (days)
Sneakers - Size 10,100,6.5,14
Running Shorts - M,60,4.0,14
Gym Bag - Black,80,5.0,21
Yoga Mat - Black,30,1.8,14
Protein Shaker,45,2.5,14
Water Bottle - 1L,140,6.0,14
Jump Rope,120,5.0,14
Gym Gloves - M,110,4.5,14
Resistance Bands - Light,80,4.0,7
Foam Roller,100,5.0,7
Sneakers - Size 9,300,5.0,14
Running Shorts - L,250,4.0,14
Water Bottle - 500ml,180,3.0,14
Resistance Bands - Heavy,400,7.0,7
Gym Gloves - S,150,2.5,10
Yoga Mat - Purple,200,3.5,14
