Product,Date,Units Sold
Sneakers - Size 10,2025-01-01,7
Sneakers - Size 10,2025-01-02,6
Sneakers - Size 10,2025-01-03,7
Sneakers - Size 10,2025-01-04,10
Sneakers - Size 10,2025-01-05,8
Sneakers - Size 10,2025-01-06,6
Sneakers - Size 10,2025-01-07,8
Sneakers - Size 10,2025-01-08,7
Sneakers - Size 10,2025-01-09,6
Sneakers - Size 10,2025-01-10,7
Sneakers - Size 10,2025-01-11,8
Sneakers - Size 10,2025-01-12,8
Sneakers - Size 10,2025-01-13,7
Sneakers - Size 10,2025-01-14,5
Sneakers - Size 10,2025-01-15,5
Sneakers - Size 10,2025-01-16,6
Sneakers - Size 10,2025-01-17,6
Sneakers - Size 10,2025-01-18,9
Sneakers - Size 10,2025-01-19,8
Sneakers - Size 10,2025-01-20,5
Sneakers - Size 10,2025-01-21,8
Sneakers - Size 10,2025-01-22,6
Sneakers - Size 10,2025-01-23,7
Sneakers - Size 10,2025-01-24,5
Sneakers - Size 10,2025-01-25,9
Sneakers - Size 10,2025-01-26,10
Sneakers - Size 10,2025-01-27,6
Sneakers - Size 10,2025-01-28,8
Sneakers - Size 10,2025-01-29,7
Sneakers - Size 10,2025-01-30,7
Sneakers - Size 10,2025-01-31,7
Sneakers - Size 10,2025-02-01,10
Sneakers - Size 10,2025-02-02,8
Sneakers - Size 10,2025-02-03,5
Sneakers - Size 10,2025-02-04,7
Sneakers - Size 10,2025-02-05,5
Sneakers - Size 10,2025-02-06,7
Sneakers - Size 10,2025-02-07,5
Sneakers - Size 10,2025-02-08,7
Sneakers - Size 10,2025-02-09,9
Sneakers - Size 10,2025-02-10,7
Sneakers - Size 10,2025-02-11,7
Sneakers - Size 10,2025-02-12,6
Sneakers - Size 10,2025-02-13,6
Sneakers - Size 10,2025-02-14,5
Sneakers - Size 10,2025-02-15,8
Sneakers - Size 10,2025-02-16,8
Sneakers - Size 10,2025-02-17,8
Sneakers - Size 10,2025-02-18,7
Sneakers - Size 10,2025-02-19,5
Sneakers - Size 10,2025-02-20,7
Sneakers - Size 10,2025-02-21,6
Sneakers - Size 10,2025-02-22,8
Sneakers - Size 10,2025-02-23,9
Sneakers - Size 10,2025-02-24,8
Sneakers - Size 10,2025-02-25,8
Sneakers - Size 10,2025-02-26,7
Sneakers - Size 10,2025-02-27,7
Sneakers - Size 10,2025-02-28,8
Sneakers - Size 10,2025-03-01,10
Sneakers - Size 10,2025-03-02,9
Sneakers - Size 10,2025-03-03,7
Sneakers - Size 10,2025-03-04,6
Sneakers - Size 10,2025-03-05,6
Sneakers - Size 10,2025-03-06,8
Sneakers - Size 10,2025-03-07,8
Sneakers - Size 10,2025-03-08,9
Sneakers - Size 10,2025-03-09,10
Sneakers - Size 10,2025-03-10,8
Sneakers - Size 10,2025-03-11,7
Sneakers - Size 10,2025-03-12,8
Sneakers - Size 10,2025-03-13,9
Sneakers - Size 10,2025-03-14,7
Sneakers - Size 10,2025-03-15,11
Sneakers - Size 10,2025-03-16,7
Sneakers - Size 10,2025-03-17,8
Sneakers - Size 10,2025-03-18,7
Sneakers - Size 10,2025-03-19,7
Sneakers - Size 10,2025-03-20,7
Sneakers - Size 10,2025-03-21,5
Sneakers - Size 10,2025-03-22,9
Sneakers - Size 10,2025-03-23,10
Sneakers - Size 10,2025-03-24,9
Sneakers - Size 10,2025-03-25,8
Sneakers - Size 10,2025-03-26,7
Sneakers - Size 10,2025-03-27,8
Sneakers - Size 10,2025-03-28,9
Sneakers - Size 10,2025-03-29,11
Sneakers - Size 10,2025-03-30,10
Sneakers - Size 10,2025-03-31,9
Sneakers - Size 10,2025-04-01,7
Sneakers - Size 10,2025-04-02,8
Sneakers - Size 10,2025-04-03,6
Sneakers - Size 10,2025-04-04,7
Sneakers - Size 10,2025-04-05,9
Sneakers - Size 10,2025-04-06,8
Sneakers - Size 10,2025-04-07,7
Sneakers - Size 10,2025-04-08,7
Sneakers - Size 10,2025-04-09,7
Sneakers - Size 10,2025-04-10,7
Sneakers - Size 10,2025-04-11,6
Sneakers - Size 10,2025-04-12,9
Sneakers - Size 10,2025-04-13,9
Sneakers - Size 10,2025-04-14,6
Sneakers - Size 10,2025-04-15,7
Sneakers - Size 10,2025-04-16,8
Sneakers - Size 10,2025-04-17,9
Sneakers - Size 10,2025-04-18,7
Sneakers - Size 10,2025-04-19,10
Sneakers - Size 10,2025-04-20,9
Sneakers - Size 10,2025-04-21,5
Sneakers - Size 10,2025-04-22,7
Sneakers - Size 10,2025-04-23,7
Sneakers - Size 10,2025-04-24,10
Sneakers - Size 10,2025-04-25,8
Sneakers - Size 10,2025-04-26,11
Sneakers - Size 10,2025-04-27,11
Sneakers - Size 10,2025-04-28,7
Sneakers - Size 10,2025-04-29,9
Sneakers - Size 10,2025-04-30,9
Sneakers - Size 10,2025-05-01,8
Sneakers - Size 10,2025-05-02,6
Sneakers - Size 10,2025-05-03,11
Sneakers - Size 10,2025-05-04,8
Sneakers - Size 10,2025-05-05,8
Sneakers - Size 10,2025-05-06,9
Sneakers - Size 10,2025-05-07,6
Sneakers - Size 10,2025-05-08,7
Sneakers - Size 10,2025-05-09,7
Sneakers - Size 10,2025-05-10,9
Sneakers - Size 10,2025-05-11,8
Sneakers - Size 10,2025-05-12,7
Sneakers - Size 10,2025-05-13,6
Sneakers - Size 10,2025-05-14,8
Sneakers - Size 10,2025-05-15,6
Sneakers - Size 10,2025-05-16,9
Sneakers - Size 10,2025-05-17,9
Sneakers - Size 10,2025-05-18,9
Sneakers - Size 10,2025-05-19,8
Sneakers - Size 10,2025-05-20,6
Sneakers - Size 10,2025-05-21,7
Sneakers - Size 10,2025-05-22,8
Sneakers - Size 10,2025-05-23,6
Sneakers - Size 10,2025-05-24,9
Sneakers - Size 10,2025-05-25,11
Sneakers - Size 10,2025-05-26,9
Sneakers - Size 10,2025-05-27,7
Sneakers - Size 10,2025-05-28,7
Sneakers - Size 10,2025-05-29,9
Sneakers - Size 10,2025-05-30,9
Sneakers - Size 10,2025-05-31,11
Sneakers - Size 10,2025-06-01,9
Sneakers - Size 10,2025-06-02,6
Sneakers - Size 10,2025-06-03,7
Sneakers - Size 10,2025-06-04,7
Sneakers - Size 10,2025-06-05,6
Sneakers - Size 10,2025-06-06,8
Sneakers - Size 10,2025-06-07,9
Sneakers - Size 10,2025-06-08,7
Sneakers - Size 10,2025-06-09,7
Sneakers - Size 10,2025-06-10,6
Sneakers - Size 10,2025-06-11,7
Sneakers - Size 10,2025-06-12,8
Sneakers - Size 10,2025-06-13,6
Sneakers - Size 10,2025-06-14,9
Sneakers - Size 10,2025-06-15,9
Sneakers - Size 10,2025-06-16,7
Sneakers - Size 10,2025-06-17,8
Sneakers - Size 10,2025-06-18,6
Sneakers - Size 10,2025-06-19,6
Sneakers - Size 10,2025-06-20,6
Sneakers - Size 10,2025-06-21,8
Sneakers - Size 10,2025-06-22,8
Sneakers - Size 10,2025-06-23,7
Sneakers - Size 10,2025-06-24,7
Sneakers - Size 10,2025-06-25,8
Sneakers - Size 10,2025-06-26,7
Sneakers - Size 10,2025-06-27,9
Sneakers - Size 10,2025-06-28,9
Sneakers - Size 10,2025-06-29,12
Running Shorts - M,2025-01-01,4
Running Shorts - M,2025-01-02,3
Running Shorts - M,2025-01-03,3
Running Shorts - M,2025-01-04,5
Running Shorts - M,2025-01-05,5
Running Shorts - M,2025-01-06,4
Running Shorts - M,2025-01-07,4
Running Shorts - M,2025-01-08,4
Running Shorts - M,2025-01-09,3
Running Shorts - M,2025-01-10,3
Running Shorts - M,2025-01-11,5
Running Shorts - M,2025-01-12,6
Running Shorts - M,2025-01-13,4
Running Shorts - M,2025-01-14,3
Running Shorts - M,2025-01-15,4
Running Shorts - M,2025-01-16,4
Running Shorts - M,2025-01-17,3
Running Shorts - M,2025-01-18,5
Running Shorts - M,2025-01-19,5
Running Shorts - M,2025-01-20,3
Running Shorts - M,2025-01-21,4
Running Shorts - M,2025-01-22,4
Running Shorts - M,2025-01-23,5
Running Shorts - M,2025-01-24,5
Running Shorts - M,2025-01-25,5
Running Shorts - M,2025-01-26,5
Running Shorts - M,2025-01-27,5
Running Shorts - M,2025-01-28,5
Running Shorts - M,2025-01-29,5
Running Shorts - M,2025-01-30,7
Running Shorts - M,2025-01-31,5
Running Shorts - M,2025-02-01,6
Running Shorts - M,2025-02-02,6
Running Shorts - M,2025-02-03,4
Running Shorts - M,2025-02-04,4
Running Shorts - M,2025-02-05,4
Running Shorts - M,2025-02-06,4
Running Shorts - M,2025-02-07,4
Running Shorts - M,2025-02-08,5
Running Shorts - M,2025-02-09,5
Running Shorts - M,2025-02-10,5
Running Shorts - M,2025-02-11,3
Running Shorts - M,2025-02-12,4
Running Shorts - M,2025-02-13,3
Running Shorts - M,2025-02-14,4
Running Shorts - M,2025-02-15,6
Running Shorts - M,2025-02-16,5
Running Shorts - M,2025-02-17,3
Running Shorts - M,2025-02-18,4
Running Shorts - M,2025-02-19,4
Running Shorts - M,2025-02-20,4
Running Shorts - M,2025-02-21,4
Running Shorts - M,2025-02-22,5
Running Shorts - M,2025-02-23,5
Running Shorts - M,2025-02-24,5
Running Shorts - M,2025-02-25,5
Running Shorts - M,2025-02-26,3
Running Shorts - M,2025-02-27,5
Running Shorts - M,2025-02-28,4
Running Shorts - M,2025-03-01,6
Running Shorts - M,2025-03-02,5
Running Shorts - M,2025-03-03,4
Running Shorts - M,2025-03-04,5
Running Shorts - M,2025-03-05,5
Running Shorts - M,2025-03-06,4
Running Shorts - M,2025-03-07,4
Running Shorts - M,2025-03-08,5
Running Shorts - M,2025-03-09,5
Running Shorts - M,2025-03-10,5
Running Shorts - M,2025-03-11,5
Running Shorts - M,2025-03-12,4
Running Shorts - M,2025-03-13,5
Running Shorts - M,2025-03-14,6
Running Shorts - M,2025-03-15,6
Running Shorts - M,2025-03-16,5
Running Shorts - M,2025-03-17,4
Running Shorts - M,2025-03-18,5
Running Shorts - M,2025-03-19,4
Running Shorts - M,2025-03-20,5
Running Shorts - M,2025-03-21,5
Running Shorts - M,2025-03-22,5
Running Shorts - M,2025-03-23,6
Running Shorts - M,2025-03-24,2
Running Shorts - M,2025-03-25,4
Running Shorts - M,2025-03-26,5
Running Shorts - M,2025-03-27,4
Running Shorts - M,2025-03-28,6
Running Shorts - M,2025-03-29,6
Running Shorts - M,2025-03-30,6
Running Shorts - M,2025-03-31,5
Running Shorts - M,2025-04-01,5
Running Shorts - M,2025-04-02,4
Running Shorts - M,2025-04-03,5
Running Shorts - M,2025-04-04,4
Running Shorts - M,2025-04-05,5
Running Shorts - M,2025-04-06,6
Running Shorts - M,2025-04-07,5
Running Shorts - M,2025-04-08,4
Running Shorts - M,2025-04-09,4
Running Shorts - M,2025-04-10,4
Running Shorts - M,2025-04-11,4
Running Shorts - M,2025-04-12,6
Running Shorts - M,2025-04-13,7
Running Shorts - M,2025-04-14,4
Running Shorts - M,2025-04-15,6
Running Shorts - M,2025-04-16,3
Running Shorts - M,2025-04-17,4
Running Shorts - M,2025-04-18,5
Running Shorts - M,2025-04-19,6
Running Shorts - M,2025-04-20,5
Running Shorts - M,2025-04-21,4
Running Shorts - M,2025-04-22,4
Running Shorts - M,2025-04-23,4
Running Shorts - M,2025-04-24,5
Running Shorts - M,2025-04-25,5
Running Shorts - M,2025-04-26,6
Running Shorts - M,2025-04-27,7
Running Shorts - M,2025-04-28,5
Running Shorts - M,2025-04-29,6
Running Shorts - M,2025-04-30,5
Running Shorts - M,2025-05-01,4
Running Shorts - M,2025-05-02,4
Running Shorts - M,2025-05-03,6
Running Shorts - M,2025-05-04,6
Running Shorts - M,2025-05-05,4
Running Shorts - M,2025-05-06,4
Running Shorts - M,2025-05-07,5
Running Shorts - M,2025-05-08,4
Running Shorts - M,2025-05-09,5
Running Shorts - M,2025-05-10,6
Running Shorts - M,2025-05-11,6
Running Shorts - M,2025-05-12,5
Running Shorts - M,2025-05-13,5
Running Shorts - M,2025-05-14,5
Running Shorts - M,2025-05-15,5
Running Shorts - M,2025-05-16,4
Running Shorts - M,2025-05-17,6
Running Shorts - M,2025-05-18,6
Running Shorts - M,2025-05-19,5
Running Shorts - M,2025-05-20,4
Running Shorts - M,2025-05-21,4
Running Shorts - M,2025-05-22,5
Running Shorts - M,2025-05-23,4
Running Shorts - M,2025-05-24,7
Running Shorts - M,2025-05-25,6
Running Shorts - M,2025-05-26,4
Running Shorts - M,2025-05-27,6
Running Shorts - M,2025-05-28,6
Running Shorts - M,2025-05-29,5
